urls_id	urls	urls_title	urls_visit_count	urls_typed_count	urls_last_visit_time	urls_hidden	visits_time	visits_from_visit	visits_duration	visits_transition
266	https://www.google.com/search?q=bronze&oq=bronze&aqs=chrome..69i57j0l2j0i433l2.6982j1j4&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8#sbfbu=1&pi=bronze	bronze - Google Search	1	0	13269365221052009	0	13269365221052009	0	0	805306368
267	https://www.google.com/search?q=bronze+in+hindi&client=ms-android-samsung&sxsrf=ALeKk00U82LjLoO72H9tpbg43I8eJHUaEw%3A1624891614535&ei=3uDZYJqfIJn8rQHMlacQ&oq=bronze&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADIECAAQRzIECAAQRzIECAAQRzIECAAQRzIECAAQRzIECAAQRzIECAAQRzIECAAQR1AAWABgwSxoAHABeACAAQCIAQCSAQCYAQDIAQjAAQE&sclient=mobile-gws-wiz-serp	bronze in hindi - Google Search	2	0	13269365225626337	0	13269365225626337	0	0	805306368
268	https://www.google.com/search?q=copper&oq=copp&aqs=chrome.2.69i57j0i67i433l2j0i67l2.2845j0j9&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	copper - Google Search	1	0	13269365234138428	0	13269365234138428	0	0	838860805
269	https://www.google.com/?sa=X&ved=0ahUKEwiM44qFybrxAhV9lEsFHWUWAs4QOwgC	Google	2	0	13269365238148892	0	13269365238148892	0	0	805306368
270	https://www.google.com/search?q=copper+price&oq=copper+&aqs=chrome.3.69i57j0i67l2j0i67i131i433j0i67i457.3904j1j4&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	copper price - Google Search	1	0	13269365242347927	0	13269365242347927	0	0	838860805
271	https://www.nasdaq.com/market-activity/commodities/hg:cmx	Copper Price: Latest Futures Prices, Charts & Market News | Nasdaq	1	0	13269365257662129	0	13269365257662129	0	0	805306368
272	https://swapnalshahil.medium.com/?source=post_page-----e7ac663e88e9--------------------------------	Swapnal Shahil – Medium	1	0	13269421829980063	0	13269421829980063	732	0	805306368
273	https://swapnalshahil.medium.com/b-tech-2nd-year-at-iit-guwahati-100706fcce3a?source=---------1----------------------------	Swapnal Shahil – Medium	1	0	13269493301398776	0	13269493301398776	0	0	805306376
274	https://swapnalshahil.medium.com/followers?source=post_page-----100706fcce3a--------------------------------	B.Tech 2nd Year at IIT Guwahati. “From sophomore to junior” | by Swapnal Shahil | Jun, 2021 | Medium	1	0	13269493362966126	0	13269493362966126	0	0	805306368
275	https://swapnalshahil.medium.com/followers	People following Swapnal Shahil	3	0	13269673614333598	0	13269673614333598	784	0	822083584
276	https://github.com/scorelab/OpenMF/pull/195	Keyword search (for getting cases) by swapnalshahil · Pull Request #195 · scorelab/OpenMF · GitHub	9	0	13269496389678880	0	13269496389678880	772	0	805306368
277	https://github.com/scorelab/OpenMF/pull/195/files	Keyword search (for getting cases) by swapnalshahil · Pull Request #195 · scorelab/OpenMF · GitHub	3	0	13269493559124501	0	13269493559124501	743	0	805306368
278	https://github.com/scorelab/OpenMF/pull/195/files/3ff6e3c7983af0b959efc416d89ec87c08f10030	Keyword search (for getting cases) by swapnalshahil · Pull Request #195 · scorelab/OpenMF · GitHub	1	0	13269493627795908	0	13269493627795908	743	0	805306368
279	https://www.google.com/search?q=caustic+soda&oq=castic+&aqs=chrome.1.69i57j0i10i433l3j0i10.3440j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	caustic soda - Google Search	1	0	13269495857465174	0	13269495857465174	0	0	838860805
280	https://en.wikipedia.org/wiki/Sodium_hydroxide	Sodium hydroxide - Wikipedia	1	0	13269495866396349	0	13269495866396349	0	0	805306368
281	https://medium.com/scorelab/google-summer-of-code-openmf-week-1-4022fb270a79?source=---------3----------------------------	Google Summer of Code: OpenMF Week 1 | by Swapnal Shahil | SCoRe Lab | Jun, 2021 | Medium	1	0	13269534731834782	0	13269534731834782	775	0	805306368
282	https://medium.com/search/tags?q=Iitg	Search tags – Medium	2	0	13269673531291109	0	13269673531291109	787	0	1610612736
283	https://medium.com/tag/iitg?source=search	The most insightful stories about Iitg - Medium	1	0	13269673538649249	0	13269673538649249	788	0	1073741824
284	https://medium.com/tag/iitg	The most insightful stories about Iitg - Medium	1	0	13269673541847212	0	13269673541847212	789	0	1610612736
285	https://swapnalshahil.medium.com/?source=topics_v2-------------------------------------	Swapnal Shahil – Medium	1	0	13269673576724777	0	13269673576724777	784	0	805306368
286	https://swapnalshahil.medium.com/about	About – Swapnal Shahil – Medium	5	0	13269673617966909	0	13269673617966909	784	0	822083584
287	https://rijusougata13.medium.com/?source=user_followers_list-------------------------------------	Sougata Das – Medium	1	0	13269673602624827	0	13269673602624827	792	0	805306368
288	https://rijusougata13.medium.com/	Sougata Das – Medium	1	0	13269673608478816	0	13269673608478816	792	0	805306368
289	https://swapnalshahil.medium.com/?p=100706fcce3a	Swapnal Shahil – Medium	2	0	13269673665683341	0	13269673665683341	784	0	805306368
